SA1500|OE2EmpireTracker\Forms\MainWindow.cs|591
SA1500|OE2EmpireTracker\Forms\StockTargets\FormStockTargets.cs|1055
SA1500|OE2EmpireTracker\Forms\StockTargets\FormStockTargets.cs|1056
SA1500|OE2EmpireTracker\Forms\Survey\FormSurvey.cs|107
SA1504|OE2EmpireTracker\ViewModels\ColonyStructureViewModel.cs|24
SA1504|OE2EmpireTracker\ViewModels\ColonyStructureViewModel.cs|35
SA1504|OE2EmpireTracker\ViewModels\ColonyStructureViewModel.cs|46
SA1505|OE2EmpireTracker\Services\Migration\RemapUUID.cs|35
SA1513|OE2EmpireTracker\Forms\Asteroid\FormAsteroid.cs|115
SA1513|OE2EmpireTracker\Forms\DeliveryExecution\FormDeliveryExecution.cs|1036
SA1513|OE2EmpireTracker\Forms\MainWindow.cs|591
SA1513|OE2EmpireTracker\Forms\StockTargets\FormStockTargets.cs|134
SA1513|OE2EmpireTracker\Forms\StockTargets\FormStockTargets.cs|779
SA1513|OE2EmpireTracker\Forms\SupplyChain\FormSupplyChain.cs|115
SA1513|OE2EmpireTracker\Services\SupplyChainService.cs|85
SA1519|OE2EmpireTracker\Forms\BlueprintV2\FormBlueprintV2.cs|1075
SA1520|OE2EmpireTracker\Forms\BlueprintV2\FormBlueprintV2.cs|412
SA1520|OE2EmpireTracker\Forms\ColonyV2\FormColonyV2.cs|442
SA1520|OE2EmpireTracker\Forms\Survey\FormSurvey.cs|905
